areaId	level	A_optimal_winRate	A_optimal_avgRounds	B_no_reduction_winRate	B_no_reduction_avgRounds	C_misformation_winRate	C_misformation_avgRounds	E_brute_force_winRate	E_brute_force_avgRounds
goblin_village_3	1	0.0	8.60	0.0	5.94	0.0	12.96	0.0	2.41
goblin_village_3	2	0.0	7.44	0.0	6.53	0.0	11.87	0.0	3.12
goblin_village_3	3	40.0	3.30	45.0	2.69	0.0	5.52	0.0	4.09
goblin_village_3	4	98.0	2.32	96.0	2.38	9.0	4.42	0.0	3.61
goblin_village_3	5	100.0	2.16	99.0	2.24	23.0	4.45	0.0	3.86
goblin_village_3	6	100.0	1.73	100.0	1.60	64.0	3.67	0.0	2.77
goblin_village_3	7	100.0	1.56	100.0	1.55	93.0	2.64	0.0	2.68
goblin_village_3	8	100.0	1.37	100.0	1.33	99.0	1.95	21.0	2.56
goblin_village_3	9	100.0	1.22	100.0	1.22	100.0	1.32	72.0	2.48
goblin_village_3	10	100.0	1.22	100.0	1.22	100.0	1.27	90.0	2.40
goblin_village_3	11	100.0	1.22	100.0	1.22	100.0	1.29	96.0	2.30
goblin_village_3	12	100.0	1.21	100.0	1.22	100.0	1.23	100.0	2.16
goblin_village_3	13	100.0	1.21	100.0	1.19	100.0	1.22	100.0	2.00
goblin_village_3	14	100.0	1.18	100.0	1.19	100.0	1.22	100.0	1.90
goblin_village_3	15	100.0	1.19	100.0	1.16	100.0	1.23	100.0	1.80
goblin_village_3	16	100.0	1.00	100.0	1.00	100.0	1.11	100.0	1.47
goblin_village_3	17	100.0	1.00	100.0	1.00	100.0	1.12	100.0	1.44
goblin_village_3	18	100.0	1.00	100.0	1.00	100.0	1.08	100.0	1.34
goblin_village_3	19	100.0	1.00	100.0	1.00	100.0	1.06	100.0	1.27
goblin_village_3	20	100.0	1.00	100.0	1.00	100.0	1.01	100.0	1.23
goblin_village_3	21	100.0	1.00	100.0	1.00	100.0	1.01	100.0	1.22
goblin_village_3	22	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.21
goblin_village_3	23	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.21
goblin_village_3	24	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.08
goblin_village_3	25	100.0	1.00	100.0	1.00	100.0	1.00	100.0	1.04
