areaId	level	A_optimal_winRate	A_optimal_avgRounds	B_no_reduction_winRate	B_no_reduction_avgRounds	D_no_defense_winRate	D_no_defense_avgRounds	C_misformation_winRate	C_misformation_avgRounds	F_with_cleric_winRate	F_with_cleric_avgRounds	G_jobs_only_winRate	G_jobs_only_avgRounds	H_no_mage_winRate	H_no_mage_avgRounds	E_brute_force_winRate	E_brute_force_avgRounds
lizardman_swamp_3	30	0.0	2.00	0.0	1.73	0.0	1.68	0.0	2.67	0.0	2.61	0.0	2.37	0.0	2.34	0.0	1.39
lizardman_swamp_3	32	0.0	1.96	0.0	1.85	0.0	1.75	0.0	2.77	0.0	2.57	0.0	2.36	0.0	2.36	0.0	1.66
lizardman_swamp_3	34	0.0	2.00	0.0	1.81	0.0	1.79	0.0	2.90	0.0	2.63	0.0	2.38	0.0	2.33	0.0	1.91
lizardman_swamp_3	36	1.0	2.07	0.0	1.86	0.0	1.78	0.0	3.15	11.0	2.67	0.0	2.40	1.0	2.19	0.0	2.03
lizardman_swamp_3	38	6.0	2.05	3.0	1.81	0.0	1.78	0.0	3.17	29.0	2.71	0.0	2.30	0.0	2.19	0.0	2.03
lizardman_swamp_3	40	32.0	2.04	21.0	1.89	16.0	1.80	0.0	3.40	71.0	2.71	0.0	2.21	4.0	2.14	0.0	2.18
lizardman_swamp_3	42	50.0	2.05	49.0	1.90	40.0	1.85	0.0	3.50	81.0	2.57	2.0	2.20	1.0	2.13	0.0	2.18
lizardman_swamp_3	44	80.0	2.02	66.0	1.89	74.0	1.82	0.0	3.50	100.0	2.34	5.0	2.22	12.0	2.16	0.0	2.20
lizardman_swamp_3	46	96.0	1.99	95.0	1.88	91.0	1.86	0.0	3.52	99.0	2.22	17.0	2.29	21.0	2.16	0.0	2.25
lizardman_swamp_3	48	99.0	1.91	99.0	1.78	99.0	1.69	0.0	3.47	100.0	2.11	30.0	2.34	43.0	2.26	0.0	2.31
lizardman_swamp_3	50	100.0	1.80	100.0	1.63	100.0	1.61	0.0	3.69	100.0	2.03	50.0	2.28	59.0	2.18	0.0	2.41
lizardman_swamp_3	52	100.0	1.62	100.0	1.57	100.0	1.54	0.0	3.55	100.0	1.99	80.0	2.28	83.0	2.10	0.0	2.45
lizardman_swamp_3	54	100.0	1.60	100.0	1.50	100.0	1.51	0.0	3.46	100.0	1.96	82.0	2.21	94.0	2.03	0.0	2.42
lizardman_swamp_3	56	100.0	1.57	100.0	1.51	100.0	1.48	2.0	3.79	100.0	1.92	94.0	2.10	98.0	1.97	0.0	2.34
lizardman_swamp_3	58	100.0	1.51	100.0	1.49	100.0	1.45	2.0	3.52	100.0	1.91	98.0	2.07	99.0	1.96	0.0	2.30
lizardman_swamp_3	60	100.0	1.44	100.0	1.41	100.0	1.36	5.0	3.76	100.0	1.86	99.0	2.01	100.0	1.89	0.0	2.34
lizardman_swamp_3	62	100.0	1.43	100.0	1.39	100.0	1.34	20.0	3.72	100.0	1.79	100.0	1.95	100.0	1.90	0.0	2.25
lizardman_swamp_3	64	100.0	1.37	100.0	1.39	100.0	1.35	45.0	3.90	100.0	1.67	100.0	1.93	100.0	1.78	0.0	2.25
