areaId	level	A_optimal_winRate	A_optimal_avgRounds	B_no_reduction_winRate	B_no_reduction_avgRounds	D_no_defense_winRate	D_no_defense_avgRounds	C_misformation_winRate	C_misformation_avgRounds	F_with_cleric_winRate	F_with_cleric_avgRounds	G_jobs_only_winRate	G_jobs_only_avgRounds	H_no_mage_winRate	H_no_mage_avgRounds	E_brute_force_winRate	E_brute_force_avgRounds
lizardman_swamp_1	20	0.0	2.02	0.0	1.95	0.0	1.71	0.0	2.00	0.0	4.90	0.0	3.61	0.0	3.79	0.0	1.00
lizardman_swamp_1	22	0.0	2.30	0.0	2.00	0.0	2.00	0.0	2.00	0.0	5.59	0.0	3.68	0.0	3.80	0.0	1.00
lizardman_swamp_1	24	0.0	2.39	0.0	2.09	0.0	2.01	0.0	2.19	0.0	5.85	0.0	4.97	0.0	4.32	0.0	1.00
lizardman_swamp_1	26	0.0	2.47	0.0	2.36	0.0	2.15	0.0	2.43	0.0	5.90	0.0	4.27	0.0	4.90	0.0	1.07
lizardman_swamp_1	28	0.0	2.75	0.0	2.34	0.0	2.33	0.0	2.34	0.0	7.17	0.0	4.46	0.0	5.80	0.0	1.38
lizardman_swamp_1	30	0.0	3.42	0.0	2.44	0.0	2.37	0.0	2.44	0.0	7.32	0.0	4.66	0.0	6.52	0.0	1.38
lizardman_swamp_1	32	0.0	4.07	0.0	3.19	0.0	2.73	0.0	3.37	0.0	6.65	0.0	4.66	0.0	7.03	0.0	1.39
lizardman_swamp_1	34	0.0	4.90	0.0	3.89	0.0	3.62	0.0	3.45	0.0	6.95	0.0	4.38	0.0	7.10	0.0	1.77
lizardman_swamp_1	36	0.0	4.60	0.0	3.92	0.0	3.68	0.0	3.68	0.0	6.91	0.0	4.47	0.0	7.83	0.0	2.00
lizardman_swamp_1	38	0.0	4.92	0.0	3.83	0.0	3.65	0.0	4.08	0.0	7.49	0.0	4.58	0.0	8.40	0.0	2.00
lizardman_swamp_1	40	0.0	5.93	0.0	4.16	0.0	3.81	0.0	4.77	0.0	8.29	0.0	4.42	0.0	7.38	0.0	2.00
lizardman_swamp_1	42	0.0	5.96	0.0	4.59	0.0	4.21	0.0	5.52	0.0	7.66	0.0	4.38	0.0	7.20	0.0	2.32
lizardman_swamp_1	44	0.0	5.85	0.0	4.76	0.0	4.36	0.0	6.81	0.0	9.61	0.0	4.35	0.0	7.19	0.0	2.35
lizardman_swamp_1	46	0.0	6.62	0.0	4.67	0.0	4.11	0.0	7.76	1.0	11.14	0.0	4.27	0.0	7.01	0.0	2.36
lizardman_swamp_1	48	0.0	6.38	0.0	4.84	0.0	4.11	0.0	9.16	22.0	11.32	0.0	4.19	0.0	6.81	0.0	2.43
lizardman_swamp_1	50	0.0	6.78	0.0	5.25	0.0	4.37	0.0	9.16	66.0	10.93	0.0	4.22	0.0	7.10	0.0	2.57
lizardman_swamp_1	52	0.0	6.78	0.0	5.32	0.0	4.44	0.0	8.73	97.0	10.62	2.0	4.30	0.0	6.70	0.0	3.09
